,0
0-sglib-combined,1.266566541090264
0-wikisort,1.8458794961299134
0-matmult-int,2.033075459182565
0-nettle-sha256,2.6328620765400763
0-nettle-aes,2.878289699718271
0-minver,1.6459465039620103
0-slre,2.314192224942433
0-cubic,1.0639906403731405
0-aha-mont64,2.105852344565994
0-nsichneu,1.1671506417431243
0-huffbench,1.553033226759689
0-crc32,1.5690833723099293
0-picojpeg,2.1715369934011317
0-qrduino,1.317713719994228
0-nbody,0.3370884283215003
0-st,0.7352835534980245
0-edn,2.5304857231989923
0-ud,1.0994761019862391
